name,symbol,slug,first_historical_data,last_historical_data,history_has_been_saved
NavCoin,NAV,nav-coin,2014-06-12T11:43:36.000Z,2020-12-02T13:24:04.000Z,0
Startcoin,START,startcoin,2014-06-15T14:58:33.000Z,2020-12-02T13:24:04.000Z,0
DigitalNote,XDN,digitalnote,2014-06-24T12:58:43.000Z,2020-12-02T13:24:05.000Z,0
Boolberry,BBR,boolberry,2014-06-24T12:58:43.000Z,2020-12-02T13:24:04.000Z,0
HempCoin,THC,hempcoin,2014-06-28T16:33:33.000Z,2020-12-02T13:24:04.000Z,0
Stealth,XST,stealth,2014-07-10T12:16:32.000Z,2020-12-02T13:24:05.000Z,0
Clams,CLAM,clams,2014-08-26T02:34:53.000Z,2020-12-02T13:24:05.000Z,0
BitShares,BTS,bitshares,2014-07-21T03:44:18.000Z,2020-12-02T13:24:05.000Z,0
Viacoin,VIA,viacoin,2014-07-18T12:24:19.000Z,2020-12-02T13:24:04.000Z,0
I/O Coin,IOC,iocoin,2014-08-02T18:34:22.000Z,2020-12-02T13:24:05.000Z,0
Cryptonite,XCN,cryptonite,2014-08-02T21:19:20.000Z,2020-12-02T13:24:05.000Z,0
Carboncoin,CARBON,carboncoin,2014-08-02T21:19:20.000Z,2020-12-02T13:24:05.000Z,0
CannabisCoin,CANN,cannabiscoin,2014-08-02T22:04:20.000Z,2020-12-02T13:24:05.000Z,0
Stellar,XLM,stellar,2014-08-05T05:44:19.000Z,2020-12-02T13:24:05.000Z,0
Titcoin,TIT,titcoin,2014-08-26T02:34:55.000Z,2020-12-02T13:24:06.000Z,0
Syscoin,SYS,syscoin,2014-08-20T11:04:21.000Z,2020-12-02T13:24:05.000Z,0
Donu,DONU,donu,2014-08-26T02:34:57.000Z,2020-12-02T13:24:05.000Z,0
Emercoin,EMC,emercoin,2014-08-23T21:24:22.000Z,2020-12-02T13:24:05.000Z,0
RabbitCoin,RBBT,rabbitcoin,2014-08-30T22:24:22.000Z,2020-12-02T13:24:06.000Z,0
Burst,BURST,burst,2014-08-30T22:24:22.000Z,2020-12-02T13:24:05.000Z,0
GameCredits,GAME,gamecredits,2014-09-01T16:54:21.000Z,2020-12-02T13:24:05.000Z,0
NativeCoin,N8V,native-coin,2014-09-06T15:54:23.000Z,2020-12-02T13:24:05.000Z,0
Ubiq,UBQ,ubiq,2014-09-07T21:39:22.000Z,2020-12-02T13:24:06.000Z,0
Opal,OPAL,opal,2014-09-13T17:14:25.000Z,2020-12-02T13:24:05.000Z,0
Acoin,ACOIN,acoin,2014-09-13T19:44:22.000Z,2020-12-02T13:24:05.000Z,0
bitCNY,BITCNY,bitcny,2014-09-23T04:24:22.000Z,2020-12-02T13:24:06.000Z,0
NuBits,USNBT,nubits,2014-09-24T01:34:23.000Z,2020-12-02T13:24:06.000Z,0
ExclusiveCoin,EXCL,exclusivecoin,2014-09-30T07:54:21.000Z,2020-12-02T13:24:05.000Z,0
Trollcoin,TROLL,trollcoin,2014-09-30T07:54:22.000Z,2020-12-02T13:24:06.000Z,0
GlobalBoost-Y,BSTY,globalboost-y,2014-10-03T12:39:24.000Z,2020-12-02T13:24:06.000Z,0
Prime-XI,PXI,prime-xi,2014-10-04T20:54:34.000Z,2020-12-02T13:24:06.000Z,0
Bitswift,BITS,bitswift,2014-10-05T17:44:24.000Z,2020-12-02T13:24:05.000Z,0
Verge,XVG,verge,2014-10-25T22:14:26.000Z,2020-12-02T13:24:06.000Z,0
NuShares,NSR,nushares,2014-10-25T23:14:26.000Z,2020-12-02T13:24:06.000Z,0
SpreadCoin,SPR,spreadcoin,2014-10-26T23:24:27.000Z,2020-12-02T13:24:07.000Z,0
Rimbit,RBT,rimbit,2014-10-26T23:24:28.000Z,2020-12-02T13:24:06.000Z,0
MonetaryUnit,MUE,monetaryunit,2014-11-01T20:59:25.000Z,2020-12-02T13:24:06.000Z,0
Blocknet,BLOCK,blocknet,2014-11-01T21:19:26.000Z,2020-12-02T13:24:06.000Z,0
Limitless VIP,VIP,limitless-vip,2014-11-08T22:54:25.000Z,2020-12-02T13:24:07.000Z,0
Crown,CRW,crown,2014-11-08T22:54:25.000Z,2020-12-02T13:24:06.000Z,0
GCN Coin,GCN,gcn-coin,2014-11-16T23:54:26.000Z,2020-12-02T13:24:06.000Z,0
Quotient,XQN,quotient,2014-11-23T20:09:28.000Z,2020-12-02T13:24:06.000Z,0
OKCash,OK,okcash,2014-12-14T03:29:25.000Z,2020-12-02T13:24:07.000Z,0
PayCoin,XPY,paycoin2,2014-12-16T05:34:25.000Z,2020-12-02T13:24:06.000Z,0
Circuits of Value,COVAL,circuits-of-value,2015-01-23T13:39:23.000Z,2020-12-02T13:24:06.000Z,0
Nexus,NXS,nexus,2015-01-25T18:54:23.000Z,2020-12-02T13:24:06.000Z,0
SmileyCoin,SMLY,smileycoin,2015-01-28T04:49:22.000Z,2020-12-02T13:24:07.000Z,0
Kobocoin,KOBO,kobocoin,2015-02-15T15:14:25.000Z,2020-12-02T13:24:06.000Z,0
Bean Cash,BITB,bean-cash,2015-02-18T13:19:25.000Z,2020-12-02T13:24:06.000Z,0
GeoCoin,GEO,geocoin,2015-02-22T02:14:25.000Z,2020-12-02T13:24:07.000Z,0
Tether,USDT,tether,2015-02-25T13:34:26.000Z,2020-12-02T13:24:08.000Z,0
Wild Beast Block,WBB,wild-beast-block,2015-02-28T17:14:25.000Z,2020-12-02T13:24:06.000Z,0
GridCoin,GRC,gridcoin,2015-02-28T18:24:26.000Z,2020-12-02T13:24:07.000Z,0
X-Coin,XCO,x-coin,2015-03-06T04:34:28.000Z,2020-12-02T13:24:07.000Z,0
LiteDoge,LDOGE,litedoge,2015-03-19T05:34:27.000Z,2020-12-02T13:24:08.000Z,0
SongCoin,SONG,songcoin,2015-03-23T01:59:27.000Z,2020-12-02T13:24:06.000Z,0
NEM,XEM,nem,2015-04-01T00:29:41.000Z,2020-12-02T13:24:06.000Z,0
Neutron,NTRN,neutron,2015-04-21T12:14:28.000Z,2020-12-02T13:24:07.000Z,0
Xaurum,XAUR,xaurum,2015-04-21T12:19:28.000Z,2020-12-02T13:24:09.000Z,0
Californium,CF,californium,2015-04-21T12:14:28.000Z,2020-12-02T13:24:07.000Z,0
Advanced Internet Blocks,AIB,advanced-internet-blocks,2015-04-30T04:24:26.000Z,2020-12-02T13:24:07.000Z,0
Sphere,SPHR,sphere,2015-05-02T15:49:25.000Z,2020-12-02T13:24:07.000Z,0
MedicCoin,MEDIC,mediccoin,2015-05-04T03:19:25.000Z,2020-12-02T13:24:09.000Z,0
Bubble,BUB,bubble,2015-05-07T03:04:26.000Z,2020-12-02T13:24:07.000Z,0
Universal Currency,UNIT,universal-currency,2015-05-07T03:04:26.000Z,2020-12-02T13:24:07.000Z,0
ParkByte,PKB,parkbyte,2015-05-19T00:34:26.000Z,2020-12-02T13:24:07.000Z,0
ARbit,ARB,arbit,2015-05-21T04:14:25.000Z,2020-12-02T13:24:09.000Z,0
Bata,BTA,bata,2015-05-29T11:44:27.000Z,2020-12-02T13:24:07.000Z,0
AudioCoin,ADC,audiocoin,2015-06-05T12:59:27.000Z,2020-12-02T13:24:07.000Z,0
Synergy,SNRG,synergy,2015-06-08T04:44:28.000Z,2020-12-02T13:24:07.000Z,0
FujiCoin,FJC,fujicoin,2015-06-14T16:54:26.000Z,2020-12-02T13:24:09.000Z,0
GravityCoin,GXX,gravitycoin,2015-06-26T12:34:27.000Z,2020-12-02T13:24:07.000Z,0
Ratecoin,XRA,ratecoin,2015-06-26T12:34:27.000Z,2020-12-02T13:24:07.000Z,0
CrevaCoin,CREVA,crevacoin,2015-07-07T15:49:27.000Z,2020-12-02T13:24:08.000Z,0
Bitzeny,ZNY,bitzeny,2015-07-09T15:34:27.000Z,2020-12-02T13:24:10.000Z,0
BowsCoin,BSC,bowscoin,2015-07-13T20:39:31.000Z,2020-12-02T13:24:07.000Z,0
Hellenic Coin,HNC,helleniccoin,2015-07-21T16:39:28.000Z,2020-12-02T13:24:07.000Z,0
Capricoin+,CPS,capricoin,2015-07-23T13:39:29.000Z,2020-12-02T13:24:07.000Z,0
Manna,MANNA,manna,2015-07-27T15:54:27.000Z,2020-12-02T13:24:10.000Z,0
Axiom,AXIOM,axiom,2015-07-30T03:04:30.000Z,2020-12-02T13:24:07.000Z,0
Leading Coin 4 Entrepreneurs,LC4,leading-coin-4-entrepreneurs,2015-08-04T18:09:29.000Z,2020-12-02T13:24:07.000Z,0
Aeon,AEON,aeon,2015-08-04T18:09:29.000Z,2020-12-02T13:24:02.000Z,0
Ethereum,ETH,ethereum,2015-08-07T14:49:30.000Z,2020-12-02T13:24:15.000Z,0
